개찰일,공고번호,공고명,발주기관,용역분류,분석구분,기초금액,실제사정율,입찰범위,현행업체수,제안업체수,변경대상,현행추천1,현행추천2,제안추천1,제안추천2,제안추천3,현행최적추천,현행최적순번,제안최적추천,제안최적순번,현행오차,제안오차,현행편향,제안편향,오차개선
2023-01-30,E012300363-1,부산항 신항 남컨 항만배후단지 배전간선설치공사(1공구) 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,131884551.0,-0.7032,지역제한,2,3,True,-0.303,-0.303,-0.303,-0.303,-0.303,-0.303,1,-0.303,1,0.40020000000000006,0.40020000000000006,0.40020000000000006,0.40020000000000006,0.0
2023-02-15,E012300742-1,서부산S/S 345kV #2M.Tr 고장복구 대체공사 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,200202005.0,-0.6385,지역제한,2,3,True,1.4928,-0.1898,1.4928,-0.1898,-0.1898,-0.1898,2,-0.1898,2,0.4487,0.4487,0.4487,0.4487,0.0
2023-02-28,E012301102-1,인보D/L 수지상선로 연계력확보 선로 보강공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,103835659.0,0.1324,지역제한,2,3,True,0.5544,-0.1184,0.5544,-0.1184,-0.12,-0.1184,2,-0.1184,2,0.2508,0.2508,-0.2508,-0.2508,0.0
2023-03-02,E012301105-1,"거제2구역 레이카운티아파트 17,500kW 신설공사 감리용역 [제한]",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,121141604.0,0.161,지역제한,2,3,True,-0.7096,-0.0899,-0.7096,-0.0899,0.56,-0.0899,2,-0.0899,2,0.2509,0.2509,-0.2509,-0.2509,0.0
2023-03-03,E012301195-1,"북부동 디엘건설(주) 경전철 환승역사 20,000kW 신설공사 감리용역 ",한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,132678899.0,0.318,지역제한,2,3,True,-0.0286,-0.1297,-0.0286,-0.1297,0.16,-0.0286,1,0.16,3,0.3466,0.158,-0.3466,-0.158,0.18860000000000002
2023-03-14,E012301531-1,서부산 명동지구 배전간선 설치공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,180750965.0,-0.0491,지역제한,2,3,True,0.318,-0.1077,0.318,-0.1077,-0.12,-0.1077,2,-0.1077,2,0.058600000000000006,0.058600000000000006,-0.058600000000000006,-0.058600000000000006,0.0
2023-03-24,E012301923-1,산막S/S 용량부족 해소 선로확충공사 감리 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,119218721.0,0.1024,지역제한,2,3,True,-0.5595,-0.0538,-0.5595,-0.0538,0.08,-0.0538,2,0.08,3,0.1562,0.022400000000000003,-0.1562,-0.022400000000000003,0.1338
2023-03-24,E012301967-1,345kV 신김해-신녹산 등 5개 T/L 철탑보강공사 책임감리용역 [제한][공가],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,167391202.0,-0.1253,지역제한,2,3,True,-0.5595,-0.0538,-0.5595,-0.0538,0.08,-0.0538,2,-0.0538,2,0.0715,0.0715,0.0715,0.0715,0.0
2023-03-27,E012301995-1,온산원산 세진중공업 20MW 수급지점 변경공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,103835659.0,-0.1426,지역제한,2,3,True,0.338,-0.0561,0.338,-0.0561,-0.36,-0.0561,2,-0.0561,2,0.08650000000000001,0.08650000000000001,0.08650000000000001,0.08650000000000001,0.0
2023-03-31,E012302183-1,송정동 해운대구청 교통체계개선 지장전주 이설공사 감리용역 [제한],한국전력공사 부산울산본부,감리,한전 감리 지역제한 3개사,103835659.0,-0.2601,지역제한,2,3,True,-0.1928,-0.0968,-0.1928,-0.0968,0.32,-0.1928,1,-0.1928,1,0.0673,0.0673,0.0673,0.0673,0.0
