개찰일,공고번호,공고명,발주기관,용역분류,분석구분,기초금액,실제사정율,입찰범위,현행업체수,제안업체수,변경대상,현행추천1,현행추천2,제안추천1,제안추천2,제안추천3,현행최적추천,현행최적순번,제안최적추천,제안최적순번,현행오차,제안오차,현행편향,제안편향,오차개선
2023-01-13,20221224256-00,그린스마트미래학교 인천여상외 1교 개축 임대형민자사업(BTL) 건설사업관리용역 [공가][기초][PQ],조달청,건설사업관리,한전 외/기타 3개사,2437681000.0,0.3845,기존분석,3,3,False,-0.5062,-0.099,-0.5062,-0.099,-0.099,-0.099,2,-0.099,2,0.48350000000000004,0.48350000000000004,-0.48350000000000004,-0.48350000000000004,0.0
2023-01-13,20230103923-00,강내 증설 및 옥산 개량 통합건설사업관리용역(PQ 후 가격입찰)[(지정업체)] [공가],충청북도 청주시,건설사업관리,한전 외/기타 3개사,2594130000.0,-0.3882,기존분석,3,3,False,-0.3338,-0.3338,-0.3338,-0.3338,-0.3338,-0.3338,1,-0.3338,1,0.054400000000000004,0.054400000000000004,0.054400000000000004,0.054400000000000004,0.0
2023-01-13,20230105348-00,동백대교 조명설비 보강 및 개선사업 전기공사 감리용역 (긴급공고)[(군산시)] [급][관내][수의][기초],전라북도 군산시,감리,한전 외/기타 3개사,101670000.0,0.6565,기존분석,3,3,False,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,-0.0255,1,-0.0255,1,0.6819999999999999,0.6819999999999999,-0.6819999999999999,-0.6819999999999999,0.0
2023-01-13,20230106731-00,기술진단 개선사업 실시설계 용역 [수의][기초],충청남도 청양군 맑은물사업소,설계,한전 외/기타 3개사,39600000.0,-0.5548,기존분석,3,3,False,-0.1038,-0.1038,-0.1038,-0.1038,-0.1038,-0.1038,1,-0.1038,1,0.45099999999999996,0.45099999999999996,0.45099999999999996,0.45099999999999996,0.0
2023-01-13,20230106900-00,지하차도 배수펌프장 배전시설 지상화공사 전기감리용역 [수의][기초],대전광역시 동구,감리,한전 외/기타 3개사,43262000.0,1.7495,기존분석,3,3,False,-0.1514,-0.1514,-0.1514,-0.1514,-0.1514,-0.1514,1,-0.1514,1,1.9009,1.9009,-1.9009,-1.9009,0.0
2023-01-13,20230107279-00,대전괴정중 냉난방개선 및 기타 전기공사 설계용역 [수의],대전광역시서부교육지원청,설계,한전 외/기타 3개사,14938000.0,0.1656,기존분석,3,3,False,-0.6197,-0.154,-0.6197,-0.154,-0.154,-0.154,2,-0.154,2,0.3196,0.3196,-0.3196,-0.3196,0.0
2023-01-13,20230107293-00,대전신계초 냉난방개선 및 기타 전기공사 설계용역 [수의],대전광역시서부교육지원청,설계,한전 외/기타 3개사,21483000.0,-0.1247,기존분석,3,3,False,-0.6197,-0.154,-0.6197,-0.154,-0.154,-0.154,2,-0.154,2,0.029299999999999993,0.029299999999999993,-0.029299999999999993,-0.029299999999999993,0.0
2023-01-13,20230107314-00,대전외삼중 냉난방개선 및 기타 전기공사 설계용역 [수의],대전광역시서부교육지원청,설계,한전 외/기타 3개사,17160000.0,0.4112,기존분석,3,3,False,-0.6197,-0.154,-0.6197,-0.154,-0.154,-0.154,2,-0.154,2,0.5652,0.5652,-0.5652,-0.5652,0.0
2023-01-13,20230107327-00,대전하기초 냉난방개선 및 기타 전기공사 설계용역 [수의],대전광역시서부교육지원청,설계,한전 외/기타 3개사,14663000.0,-0.0598,기존분석,3,3,False,-0.6197,-0.154,-0.6197,-0.154,-0.154,-0.154,2,-0.154,2,0.0942,0.0942,-0.0942,-0.0942,0.0
2023-01-13,20230107340-00,대전원앙초 냉난방개선 및 기타 전기공사 설계용역 [수의],대전광역시서부교육지원청,설계,한전 외/기타 3개사,22429000.0,-0.5632,기존분석,3,3,False,-0.6197,-0.154,-0.6197,-0.154,-0.154,-0.6197,1,-0.6197,1,0.056499999999999995,0.056499999999999995,-0.056499999999999995,-0.056499999999999995,0.0
2023-01-13,20230107350-00,대전하기중 냉난방개선 및 기타 전기공사 설계용역 [수의][기초],대전광역시서부교육지원청,설계,한전 외/기타 3개사,25377000.0,-0.3488,기존분석,3,3,False,-0.6197,-0.154,-0.6197,-0.154,-0.154,-0.154,2,-0.154,2,0.1948,0.1948,0.1948,0.1948,0.0
2023-01-13,20230107435-00,게스트하우스 신축 전기소방감리 용역 [수의][기초],부산광역시 북구,감리,한전 외/기타 3개사,34485000.0,0.2139,기존분석,3,3,False,-0.5234,-0.5234,-0.5234,-0.5234,-0.5234,-0.5234,1,-0.5234,1,0.7373,0.7373,-0.7373,-0.7373,0.0
2023-01-13,20230107802-00,"운봉초 등 1교(정관유) 정보통신시설 개수 및 기타 전기, 정보통신공사 설계용역 [수의][공가][기초]",부산광역시해운대교육지원청,설계,한전 외/기타 3개사,15414000.0,-0.5966,기존분석,3,3,False,-0.1038,-0.1038,-0.1038,-0.1038,-0.1038,-0.1038,1,-0.1038,1,0.4928,0.4928,0.4928,0.4928,0.0
2023-01-13,20230108271-00,고창문화원 다목적체험관 실시설계용역[(건축사-고창군)] [수의][공가],전라북도 고창군,설계,한전 외/기타 3개사,40040000.0,-0.8843,기존분석,3,3,False,-0.1038,-0.1038,-0.1038,-0.1038,-0.1038,-0.1038,1,-0.1038,1,0.7805,0.7805,0.7805,0.7805,0.0
2023-01-13,B5202305171,섬진강댐지사 사옥 개선사업 전기공사 감리용역 [수의],한국수자원공사 섬진강댐지사,감리,한전 외/기타 3개사,47036000.0,0.8829,기존분석,3,3,False,-0.1514,-0.1514,-0.1514,-0.1514,-0.1514,-0.1514,1,-0.1514,1,1.0343,1.0343,-1.0343,-1.0343,0.0
2023-01-13,E012211705-1,154kV 첨단S/S 건설공사 책임감리용역(PQ) [공가],한국전력공사 중부건설본부,감리,한전 감리 전국입찰 3개사,652630000.0,0.5014,전국입찰,3,3,False,-0.3945,-0.3945,-0.3945,-0.3945,-0.3945,-0.3945,1,-0.3945,1,0.8958999999999999,0.8958999999999999,-0.8958999999999999,-0.8958999999999999,0.0
2023-01-13,E012300064-1,신반포로19길(덜위치칼리지) 지중화공사 감리용역(서초지사) [제한],한국전력공사 남서울본부,감리,한전 감리 전국입찰 3개사,70224239.0,1.0438,전국입찰,3,3,False,-0.1638,-0.1638,-0.1638,-0.1638,-0.1638,-0.1638,1,-0.1638,1,1.2076,1.2076,-1.2076,-1.2076,0.0
2023-01-13,E012300076-1,장대동 논개시장 아케이드 설치 (지)이설공사 감리용역 [제한],한국전력공사 경남본부,감리,한전 감리 전국입찰 3개사,25691795.0,-0.1856,전국입찰,3,3,False,0.3144,0.3144,0.3144,0.3144,0.3144,0.3144,1,0.3144,1,0.5,0.5,0.5,0.5,0.0
2023-01-13,E012300095-1,"갈매동 갈매피에프브이 일반용(을)고압A 9,350kW 신설 감리용역 [제한]",한국전력공사 경기북부본부,감리,한전 감리 전국입찰 3개사,92490463.0,0.4035,전국입찰,3,3,False,-0.1638,-0.1638,-0.1638,-0.1638,-0.1638,-0.1638,1,-0.1638,1,0.5673,0.5673,-0.5673,-0.5673,0.0
2023-01-13,E012300097-1,강동면 강릉시청 소하천 정비사업 전주 이설 감리용역 [제한],한국전력공사 강원본부,감리,한전 감리 전국입찰 3개사,25691794.0,0.6467,전국입찰,3,3,False,-0.1638,-0.1638,-0.1638,-0.1638,-0.1638,-0.1638,1,-0.1638,1,0.8105,0.8105,-0.8105,-0.8105,0.0
2023-01-16,20221214217-00,광양항 동·서측배후단지 확충공사 외 3건 통합 건설사업관리용역 [공가][기초],여수광양항만공사,건설사업관리,한전 외/기타 3개사,2738000000.0,-0.7984,기존분석,3,3,False,0.0226,0.0226,0.0226,0.0226,0.0226,0.0226,1,0.0226,1,0.821,0.821,0.821,0.821,0.0
2023-01-16,20221225631-00,당진기지 1단계 본설비 건설공사 감독권한대행 등 건설사업관리용역 [공가][기초],조달청,건설사업관리,한전 외/기타 3개사,30955877000.0,0.6,기존분석,3,3,False,-0.1614,-0.0651,-0.1614,-0.0651,-0.16,-0.0651,2,-0.0651,2,0.6651,0.6651,-0.6651,-0.6651,0.0
2023-01-16,20230106633-00,점촌북초 외 6교 화장실 및 냉난방시설개선 전기공사 설계용역 [수의][기초],경상북도문경교육지원청,설계,한전 외/기타 3개사,18623000.0,-0.3545,기존분석,3,3,False,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,1,-0.1333,1,0.22119999999999998,0.22119999999999998,0.22119999999999998,0.22119999999999998,0.0
2023-01-16,20230107047-00,서검보건진료소 이전신축 사업 설계용역[건축사-인천] [수의][공가][기초],인천광역시 강화군 보건소,설계,한전 외/기타 3개사,24090000.0,-0.6815,기존분석,3,3,False,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,1,-0.1333,1,0.5482,0.5482,0.5482,0.5482,0.0
2023-01-16,20230107626-00,영광공공하수처리시설증설사업외1건기본및실시설계용역(총괄및1차분)(P.Q후지명경쟁)-계약대행[지정업체] [공가],전라남도 영광군,설계,한전 외/기타 3개사,1420969000.0,0.2457,기존분석,3,3,False,-0.1925,-0.1925,-0.1925,-0.1925,-0.1925,-0.1925,1,-0.1925,1,0.43820000000000003,0.43820000000000003,-0.43820000000000003,-0.43820000000000003,0.0
2023-01-16,20230107648-00,홍농법성하수관로정비사업외2개소건설사업관리용역(총괄및1차분)(P.Q후지명경쟁)-계약대행[지정업체] [공가][기초],전라남도 영광군,건설사업관리,한전 외/기타 3개사,4095000000.0,1.762,기존분석,3,3,False,-0.3782,-0.3782,-0.3782,-0.3782,-0.3782,-0.3782,1,-0.3782,1,2.1402,2.1402,-2.1402,-2.1402,0.0
2023-01-16,20230107765-00,주요 도로변 가로조명 설치공사 실시설계용역[(양산시)] [관내][수의],경상남도 양산시,설계,한전 외/기타 3개사,56700000.0,0.1385,기존분석,3,3,False,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,1,-0.1333,1,0.27180000000000004,0.27180000000000004,-0.27180000000000004,-0.27180000000000004,0.0
2023-01-16,20230108982-00,"인지초 등 4교(반안초,송수초,반안중)수배전반교체 및 기타 전기, 정보통신공사 설계용역 [수의][공가]",부산광역시해운대교육지원청,설계,한전 외/기타 3개사,13708000.0,-1.409,기존분석,3,3,False,-0.1733,-0.1733,-0.1733,-0.1733,-0.1733,-0.1733,1,-0.1733,1,1.2357,1.2357,1.2357,1.2357,0.0
2023-01-16,20230109167-00,탄소중립 실천마을 커뮤니티센터 조성사업 기본 및 실시설계 용역[(건축사-하동군)] [수의][공가],경상남도 하동군,설계,한전 외/기타 3개사,38200000.0,0.7581,기존분석,3,3,False,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,-0.1333,1,-0.1333,1,0.8914,0.8914,-0.8914,-0.8914,0.0
2023-01-16,20230109306-00,아포읍 행정복지센터 건립 전기공사 감리 용역[(김천시)] [관내][수의][기초],경상북도 김천시,감리,한전 외/기타 3개사,46690000.0,0.4416,기존분석,3,3,False,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,1,0.1569,1,0.28469999999999995,0.28469999999999995,-0.28469999999999995,-0.28469999999999995,0.0
2023-01-16,2203848-00,전북장수(지역수요형) 아파트 건설공사(행복 120호) 시공단계 감독권한대행 등 건설사업관리용역 [공가],한국토지주택공사,건설사업관리,한전 외/기타 3개사,3547357000.0,-0.0045,기존분석,3,3,False,-0.1242,-0.1242,-0.1242,-0.1242,-0.1242,-0.1242,1,-0.1242,1,0.1197,0.1197,-0.1197,-0.1197,0.0
2023-01-16,B5202305167,충남서부권 광역상수도(1·2공구) 및 추가사업 정보통신공사 통합 감리 용역 [공가][PQ],한국수자원공사 금강경영처,감리,한전 외/기타 3개사,276400000.0,0.1031,기존분석,3,3,False,0.0718,0.0718,0.0718,0.0718,0.0718,0.0718,1,0.0718,1,0.031299999999999994,0.031299999999999994,-0.031299999999999994,-0.031299999999999994,0.0
2023-01-16,E012211685-3,154kV 청리-상주T/L 지중화공사 책임감리용역(PQ) [정][공가],한국전력공사 경북본부,감리,한전 감리 전국입찰 3개사,539737000.0,-0.3493,전국입찰,3,3,False,-0.1402,-0.1402,-0.1402,-0.1402,-0.1402,-0.1402,1,-0.1402,1,0.2091,0.2091,0.2091,0.2091,0.0
2023-01-16,E012300102-1,연무읍 마전리 충남종건 하천정비 지장전주 이설공사 감리[논산지사] [제한],한국전력공사 대전세종충남본부,감리,한전 감리 전국입찰 3개사,25691795.0,0.4981,전국입찰,3,3,False,-0.0308,-0.0308,-0.0308,-0.0308,-0.0308,-0.0308,1,-0.0308,1,0.5289,0.5289,-0.5289,-0.5289,0.0
2023-01-16,E012300107-1,마령진안3공구 도로개량 익산청(지)이설공사 감리용역 [제한],한국전력공사 전북본부,감리,한전 감리 전국입찰 3개사,191832075.0,0.8575,전국입찰,3,3,False,-0.0308,-0.0308,-0.0308,-0.0308,-0.0308,-0.0308,1,-0.0308,1,0.8883000000000001,0.8883000000000001,-0.8883000000000001,-0.8883000000000001,0.0
2023-01-16,E012300110-1,함열S/S 용동·망성D/L 대용량 2회선 계통보강공사 감리용역 ,한국전력공사 전북본부,감리,한전 감리 전국입찰 3개사,236364521.0,-0.2793,전국입찰,3,3,False,0.1334,0.1334,0.1334,0.1334,0.1334,0.1334,1,0.1334,1,0.41269999999999996,0.41269999999999996,0.41269999999999996,0.41269999999999996,0.0
