모집단,기간,기준,표본수,MAE,중앙절대오차,±0.20%p,±0.30%p,±0.50%p,하한미달위험,과상향위험,평균편향
전체 평가표본,전체,v2.15.4_현행2개사,45775,0.3918,0.2874,0.3792,0.5152,0.7038,0.1505,0.1457,-0.0026
전체 평가표본,전체,v2.15.5_제안3개사,45775,0.3918,0.2873,0.3793,0.5152,0.7038,0.1505,0.1457,-0.0025
전체 평가표본,최근 2년,v2.15.4_현행2개사,24592,0.3824,0.2777,0.389,0.5268,0.7149,0.1487,0.1363,-0.0113
전체 평가표본,최근 2년,v2.15.5_제안3개사,24592,0.3824,0.2776,0.3891,0.5269,0.715,0.1487,0.1363,-0.0113
전체 평가표본,최근 1년,v2.15.4_현행2개사,11966,0.3839,0.2794,0.388,0.5256,0.7116,0.149,0.1394,-0.0104
전체 평가표본,최근 1년,v2.15.5_제안3개사,11966,0.3838,0.2793,0.3882,0.5256,0.7116,0.149,0.1394,-0.0103
전체 평가표본,최근 6개월,v2.15.4_현행2개사,6330,0.3825,0.2769,0.3904,0.5265,0.7145,0.142,0.1434,-0.0011
전체 평가표본,최근 6개월,v2.15.5_제안3개사,6330,0.3824,0.2767,0.3907,0.5265,0.7145,0.142,0.1434,-0.001
전체 평가표본,최근 3개월,v2.15.4_현행2개사,2903,0.3972,0.2884,0.3796,0.5122,0.7027,0.1447,0.1526,0.008
전체 평가표본,최근 3개월,v2.15.5_제안3개사,2903,0.3972,0.2884,0.3796,0.5122,0.7027,0.1447,0.1526,0.008
변경 대상,전체,v2.15.4_현행2개사,77,0.3143,0.2282,0.4675,0.6104,0.7792,0.1558,0.0649,-0.1381
변경 대상,전체,v2.15.5_제안3개사,77,0.288,0.1668,0.5195,0.6364,0.8052,0.1299,0.0649,-0.1187
변경 대상,최근 2년,v2.15.4_현행2개사,42,0.3108,0.2181,0.4762,0.5952,0.7381,0.1905,0.0714,-0.1108
변경 대상,최근 2년,v2.15.5_제안3개사,42,0.2748,0.14,0.5238,0.619,0.7857,0.1429,0.0714,-0.085
변경 대상,최근 1년,v2.15.4_현행2개사,20,0.3033,0.1774,0.55,0.7,0.75,0.15,0.1,-0.0633
변경 대상,최근 1년,v2.15.5_제안3개사,20,0.2605,0.1158,0.65,0.7,0.75,0.15,0.1,-0.0402
변경 대상,최근 6개월,v2.15.4_현행2개사,13,0.1867,0.1211,0.6923,0.8462,0.8462,0.0769,0.0769,-0.0341
변경 대상,최근 6개월,v2.15.5_제안3개사,13,0.1512,0.0859,0.8462,0.8462,0.8462,0.0769,0.0769,0.0083
변경 대상,최근 3개월,v2.15.4_현행2개사,4,0.1858,0.0763,0.75,0.75,0.75,0.0,0.25,0.1219
변경 대상,최근 3개월,v2.15.5_제안3개사,4,0.1858,0.0763,0.75,0.75,0.75,0.0,0.25,0.1219
